date_and_time,place,text,title
"April 16, 2020 22:49 IST","New Delhi,","Despite Prime Minister Narendra Modi’s repeated pleas to employers not to lay off workers during the lockdown, 80 radio jockeys of All India Radio’s FM Gold in Delhi are out of work.,The state broadcaster Prasar Bharati, which oversees the AIR and Doordarshan, has decided that in cities that has three FM channels, one will be dedicated to news about the,COVID-19,pandemic. Hence, FM Gold, mostly an infotainment channel, has suspended its usual shows.,Also read:,‘Post-pandemic period will see turnaround in job market’,All 80 jockeys who anchor the shows in Delhi are casual workers, and are paid for the shows they anchor.,These 80 jockeys have not been called to work since March 20, five days before the lockdown was imposed nationwide. Harikrishan Sharma, president of AIR Casual Announcers and Compères Union, sent multiple e-mails to Prasar Bharati CEO Shashi Shekhar Vempati, but has got no response.,In his e-mail, Mr. Sharma has flagged two circulars. The first one is the March 20 advisory issued by the Labour Secretary to the Chief Secretaries of all the States. It asked them to reach out to private as well as public enterprises and ensure that no worker is laid off.,The Department of Expenditure, under the Ministry of Finance, issued a circular on March 23. It said, “In order to avoid any undue hardships under the prevailing extraordinary circumstances, it has been decided that wherever any contractual, casual and outsourced staff member of the Ministries/Departments and other organisations of the Government of India is required to stay at home in view of the lockdown..., they shall be treated as ‘on duty’ during such a period of absence and necessary pay/wages would be paid accordingly.”,“FM Gold Delhi is not alone in this situation. In fact, many AIR stations across the country have cancelled the booking of casual radio jockeys. This is a stark example of unbridled and arbitrary functioning of AIR, which shows how the country’s biggest radio broadcaster is ignoring the Prime Minister’s repeated appeals, and the instructions issued by the Union government,” said Rama Sharma, a radio jockey working with FM Gold.",80 jockeys of Delhi FM Gold out of work
"April 16, 2020 21:15 IST","BERHAMPUR,","More than 2.5 lakh Odia migrant labourers stranded in Gujarat due to the lockdown are in a pitiable state as they are living in cramped rooms facing threat of infection and,scarcity of food,and no income.,Full coverage on coronavirus,Most of these workers are from the Ganjam district employed in the textile industries of Surat that have closed down because of the lockdown. According to Niranjan Mohapatra, a migrant worker and labour activist in Surat, every other day, the workers are coming out daring the COVID-19 threat to hold demonstrations to get basic necessities and proper shelter.,Frustrated by the lack of proper initiatives by the Gujarat government, these workers are sending SOS to the members of the Odisha Disaster Migration Mapping for Intervention (ODMMI), an organisation of social activists. Green Nobel prize winner and environmental activist Prafulla Samantra, who is part of the ODMMI, said they are keeping track of the situation through contacts in Gujarat and have also taken up the matter with the Odisha government.,Pitambar Pradhan, an Odia lawyer of labour court in Surat, said accommodation is the major problem faced by these labourers. Usually a dozen workers take small rooms of 100 or 120 sq. ft. floor area on rent. They work in shifts and hence never be in the room at the same time even to sleep, so they could manage. While a group slept in the room, the other group was out at work.,Also read |,Unorganised labourers need two kinds of cover: union organisation and legal, says labour expert,As all the textile units have closed down, all of them have to live in the cramped rooms where social distancing is impossible. They cannot remain and sleep in the rooms due to summer heat. “If anyone of them gets infected by COVID-19, it could lead to a dangerous situation,” said Mr. Mohapatra.,Mr. Mohapatra and Mr. Pradhan said it is high time the Gujarat government provided accommodation to them in schools and colleges to save them from possible infection. They alleged that most of these workers were paid on daily basis with the norm no work no pay. So, they now have no income and are facing scarcity of food. Even if they get food materials, it is hard for them to cook in the cramped rooms.,Also read |,Workers face heat, hunger as lockdown is extended,Mr. Samantra said despite the directive from the Central government regarding migrant workers during the lockdown, the Gujarat government has not done much. He urged the Odisha government to take up the issue with the Gujarat government. If possible Odisha should send its officers to Gujarat to safeguard the life and livelihood of the workers. “It is the duty of the Odisha government to take up the responsibility since these workers have migrated to Gujarat because they could not get jobs in Odisha,” Mr. Samantra said.","Coronavirus | 2.5 lakh Odia labourers stranded in Gujarat face threat of infection, say activists"
"April 16, 2020 23:23 IST","New Delhi,","The Union Agriculture Ministry on Thursday laid down the standard operating procedure (SOP) to guide farmers on safety precautions that need to be strictly followed during planting of kharif crops amid the threat of,COVID-19 pandemic,.,“Transplanting of paddy and vegetables are labour-intensive activities. Hence, strictly follow guidelines on social distancing, sanitizing and wearing masks,” as per the SOP released by the ministry during the national video conference on kharif crops.,Watch | Guidelines for extended lockdown,Farm workers should wash their hands, legs and face with soap when coming out of the field for meal or rest, it said.,For preparing land for sowing of kharif crops, the ministry said farmers should minimise labour and use tractor driven machineries. Farmers should use seed-cum-fertiliser drills and reduce the number of workers in the field.,Data | How quickly are coronavirus infections and deaths increasing in India, compared to the rest of the world?,As per the SOP, social distancing and sanitization norms should be followed during field preparation, sowing and fertiliser application.,“Maintain social distance at least 1-2 metre during farm operations. Workers should be assigned separate duties with regard to farm activities,” it said.,“All farm equipment from seed drill, plough to tractor should be sanitized before use. Those working in the farm field should wear masks or cover their face with three layers of “chunnis, gamchha or towel,” it added.,Also read |,‘Heat is not a deterrent for transmission’: Your COVID-19 queries answered,Each worker should have a separate utensil and clean it with soap after use, it said.,For other operations like weeding and spraying of fertilisers/pesticides, the ministry said farmers or workers must follow all protocols of social distancing and sanitize the equipment.,“Burn or bury in soil empty packets of pesticides. Sun dry empty bags of seeds, fertilisers for two days for re-use,” the ministry said.,Also read |,Record foodgrain target of 298.3 million tonnes set,The ministry also mentioned that after the day’s work, farmers should bath and wash clothes with soap and sundry.,For harvesting of rabi crops, the ministry said farmers should prefer mechanised harvesting and threshing, and maintain 4-5 metres social distancing during harvesting, threshing, packaging, eating and resting.,Farmers have been asked to keep farm produce in open, preferably under sun for 48 hours before storing.,Agriculture and allied activities have been exempted from the lockdown imposed to prevent the spread of coronavirus.",Coronavirus | Centre issues SOP for kharif crops sowing
"April 21, 2020 23:08 IST","New Delhi,",,"Coronavirus | Please send us home, say 220 Indians stranded in Japan"
"April 16, 2020 23:30 IST","NEW DELHI,","India registered over 800,COVID-19,positive cases on Thursday, with the tally touching 12,759 cases and 420 deaths. These include over 10,824 active cases. A total of 1,541 people have been cured and discharged and one had migrated. The total number of cases include 76 foreign nationals.,The Health Ministry noted that India’s case fatality rate is 3.3% and percentage of people recovered is 12.02.,India coronavirus lockdown Day 23 updates,|,Helpline numbers,According to reports from the State Health Departments, the total number of COVID-19 cases in India are 13,339, of which 11,289 are active ones. A total of 452 people have died of the disease.,The Indian Council of Medical Research (ICMR) has said the rapid testing kit is not for diagnosis but for surveillance, especially in hotspots.,A total of 3,02,956 samples from 2,86,714 individuals have been tested as on Thursday.,“Working in one shift, more than 42,400 samples can be tested per day; if we work in two shifts, we will be able to test more than 78,200 samples per day,” said ICMR spokesperson R.R. Gangakhedkar.,Interactive map of confirmed coronavirus cases in India,|,,State-wise tracker for coronavirus cases, deaths and testing rates,Refuting allegation that India is not conducting enough coronavirus tests, the ICMR said, “India tests 24 people for one positive case, while Japan tests 11.7, Italy 6.7 and the U.S. tests 5.3. So, one cannot say that India is testing less.”,The spokesperson confirmed that India has on Thursday,received 5 lakh rapid test kits,for COVID-19 from China. “These have a sensitivity of over 80% and are serology kits which is not to be used for early diagnosis but for surveillance purpose, especially in hotspots,” said Dr. Gangakhedkar.,,He added that there was no need to be concerned over the efficacy of the rapid antibody testing kits. “If an antibody test of a person turns out to be positive, one cannot necessarily be sure the person would not get infected ever again. This means, even if antibody is present, that doesn’t mean it will necessarily be effectively able to fight the virus.”,Download The Hindu’s multi-language e-book on essential COVID-19 information,“Rapid antibody tests are for monitoring surveillance, not for diagnosis. Hence there is no concern with respect to the testing kits being faulty, that concern was with respect to immune response alone,” the ICMR spokesperson said.,The implementation of containment strategies in some districts which earlier had reported COVID-19 cases has yielded positive results. One of such place is Puducherry’s Mahe district, where no case of the infection has been reported in the last 28 days. There are 27 other districts also where no positive case has been reported in a fortnight.,The Ministry added that the Central government has amended the Environment Impact Assessment Notification, 2006, to ramp up availability and production of bulk drugs. All projects or activities in respect of bulk drugs and intermediates have been re-categorised, to fast-track their appraisal.,An advisory for safe drinking water practices during lockdown has been issued with the State governments being advised to augment water supplies with special focus on relief camps and for vulnerable sections of the society.",Coronavirus | India pegs fatality rate at 3.3%
"April 16, 2020 22:19 IST","NEW DELHI ,","To overcome time delays and ensure swift delivery of Personal Protective Equipment (PPE) and masks to combat,COVID-19,, the Defence Research and Development Organisation (DRDO) has shifted the,PPE,testing facility at the Defence Research Development Establishment (DRDE) in Gwalior to the Institute of Nuclear Medicine and Allied Sciences (INMAS) in Delhi.,Watch | Guidelines for extended lockdown,“The facility at INMAS is fully operational for testing and evaluation of body suits and masks. More than 50 batches of these items have already been tested at the laboratory,” the DRDO said in a statement on Thursday.,Watch | What is PPE?,The DRDE, Gwalior has now been tasked to do the testing of masks only received by the HLL Lifecare Limited from foreign countries before it is distributed to various agencies, the statement added.",Coronavirus | PPE testing lab shifted from Gwalior to Delhi
"April 16, 2020 23:42 IST","NEW DELHI ,",,Coronavirus | Plea in Supreme Court against use of ‘unproven’ drug
"April 16, 2020 23:36 IST","New Delhi,","Civil rights campaigner Gautam Navlakha was sent to seven-day police custody by a city court on Wednesday.,Mr. Navlakha, accused of involvement in the Bhima-Koregaon riots of 2018,,surrendered to the National Investigation Agency,(NIA) in New Delhi on Tuesday.,NIA had appealed for a 10-day custody of Mr. Navlakha on the ground that custodial interrogation was required for analysing the data and documents retrieved from electronic devices that were recovered during the investigation.,Mr. Navlakha’s counsel opposed the application, stating that he was 67 years old and had been falsely implicated in the case.,Also read:,Gautam Navlakha hopes for speedy, fair trial ahead of surrender to NIA,Additional District Judge Sunena Sharma said that considering the nature of allegations, custodial interrogation was indeed required. The Judge then granted the police Mr. Navlakha’s custody for seven days.,The court told the investigating officer that Mr. Navlakha must be medically examined every 48 hours. It said that in the wake of the public health emergency due to,COVID-19 outbreak,, the officer should take “extra precautions.” The accused being a senior citizen was more prone to infections.,A Supreme Court Bench had,rejected the anticipatory bail pleas,of Mr. Navlakha and Anand Teltumbde, an engineer and IIM graduate who taught at IIT Kharagpur, on March 16 and ordered them to surrender. The case against them was transferred from the Pune police to the NIA in January. Both have been charged under the draconian Unlawful Activities (Prevention) Act (UAPA).,Dr. Teltumbde surrendered in Mumbai on Tuesday,. Mr. Navlakha could not travel to Mumbai due to the ongoing COVID-19 lockdown and surrendered in Delhi.,Before surrendering to the NIA, Mr. Navlakha said in a statement: “My hope rests on a speedy and fair trial for myself and all my co-accused. This alone will enable me to clear my name, and walk free....”,The Pune police had earlier arrested activists Sudha Bharadwaj, Shoma Sen, Surendra Gadling, Mahesh Raut, Arun Ferreira, Sudhir Dhawale, Rona Wilson, Vernon Gonsalves and Varavara Rao for their alleged involvement in the,Bhima Koregaon,riots.",Elghar Parishad case | Police get 7-day custody of Gautam Navlakha
"April 16, 2020 23:50 IST","NEW DELHI ,","A public interest petition was filed on Thursday in the Supreme Court that certain media organisations have issued termination notices, imposed wage cuts and unpaid leave to their employees during the,COVID-19 pandemic,.,Also read |,Don’t lay off workers or cut salaries, says Labour Ministry,A joint petition filed by National Alliance of Journalists, the Delhi Union of Journalists and the Brihanmumbai Union of Journalists said this amounted to an “inhuman and illegal treatment”.,Watch | Guidelines for extended lockdown,The journalists’ bodies have asked the apex court to “direct or order persons publishing newspapers or engaged with media work including digital media and employing journalists and non-journalists for this purpose to treat all termination of service notices issued, resignation from services received from employees pursuant to a request from the employers whether oral or in writing, all wage reductions, all directions to go on leave without pay, taking place after the announcement of the lockdown as suspended with immediate effect until further orders”.,“Several newspapers, magazines, online media outlets and other employers in the media sector have reportedly taken steps after the announcement of the nationwide lockdown in March 2020 to retrench workers and employees, impose wage cuts, etc, in spite of advisories issued by the Ministry of Labour and Employment, Government of India and even appeals by the Prime Minister to not terminate the services or reduce the wages of their employees,” the petition said.,Also read |,80 jockeys of Delhi FM Gold out of work,It said these measures are “an affront to the rights of journalists and also impede their ability to perform their duties and provide independent journalism as a pillar of democracy”.",Coronavirus | PIL in Supreme Court against job cuts in some media organisations
"April 16, 2020 23:41 IST","New Delhi:,","Defence Minister Rajnath Singh on Thursday reviewed the preventive measures taken by 62 cantonment boards across the country to contain the spread of,coronavirus,(,COVID-19,), according to an official statement.,Director General Defence Estates (DGDE) Deepa Bajwa, who is in-charge of managing the cantonment boards, gave an overview of the ongoing steps such as maintenance of essential services including sanitation and water supply in cantonment areas, the statement by the Defence Ministry said.,Interactive map of confirmed cases in India,“She also apprised him about the steps taken for the identification of hospitals, schools and community halls for quarantine facilities and continuous measures for public awareness among residents; enforcement of social distancing,” it said.,Ms. Bajwa informed Singh that provision of food and dry ration has also been made for the vulnerable sections in association with NGOs and social organisations, the Ministry stated.,,Coronavirus | PPE testing lab shifted from Gwalior to Delhi,She told him that chief executive officers of the cantonment boards are maintaining regular liaison with district administrations and local military authorities.,“While acknowledging the efforts, Rajnath Singh stressed that the cantonment boards should ensure highest standards of sanitation and hygiene, and fumigation specifically in the populated civil areas,” the statement said.,State Helpline numbers,|,State-wise tracker for coronavirus cases,“He [Singh] stressed that special care should be taken to provide food and shelter for the vulnerable sections of migrants or daily wagers,” it said.,Answers from experts on your queries about coronavirus,The first phase of the lockdown was from March 25 to April 14. The,second phase of the nationwide lockdown,started from April 15 and would end on May 3.",Coronavirus | Rajnath Singh reviews preventive measures taken by 62 cantonment boards across country
"April 16, 2020 23:31 IST","NEW DELHI,","Passengers taking a flight must prepare for a longer travel time, temperature checks, fewer frills on board and possibly higher air fares, as airlines, airports and the government work to ensure physical distancing, hand hygiene and sanitised environment to keep the novel,coronavirus,infection at bay once the lockdown is lifted.,Also read:,Airlines prepare for take-off in post-coronavirus world,“The key aspect we have to keep in mind is the safety of passengers by ensuring social distancing so that the infection does not spread. This means travel time will increase. Where passengers were asked to report 45 minutes before the departure time (for domestic flights), they will now have to report two hours earlier. We will encourage passengers to use automated modes as much as possible to avoid manual contact. For example, they may be asked to check in through the mobile application or self check-in kiosks, which will undergo frequent cleaning,” Vistara chief commercial officer Vinod Kannan told,The Hindu,in a telephone interview.,GoAir, however, requires its passengers to report three hours before a flight.,“The Ministry of Civil Aviation, the Airports Authority of India (AAI), the safety regulator DGCA and the aviation security watchdog Bureau of Civil Aviation Security are finalising guidelines for airports and airlines. Several airports have already started marking circles and squares at various contact points on their premises,” AAI Chairman Arvind Singh said.,Also read:,Coronavirus lockdown | Airlines start selling domestic flight tickets,The CISF has submitted its recommendations on security protocol to the Ministry of Civil Aviation, which include measurement of body temperature at the airport entrance, filling up of a questionnaire on health conditions by passengers, only alternate check-in counters being opened and security personnel equipped with protective gear. CISF airport in charge M.A. Ganapathy said that at the time of entering the terminal building, passengers would be asked to remove their mask for identification by security personnel and CCTV cameras.,Once you board the flight, the middle row seat is likely to be left empty, in accordance with the DGCA guidelines, or possibly four out of six seats in a row could be left empty. While low-cost airlines IndiGo and GoAir will discontinue meals on board, Vistara will continue to provide them, with some changes in the delivery.,“In order to ensure a superior quality of service, our cabin crew members interact with passengers several times and explain the menu. We will limit the number of interactions. We will offer pre-packaged cold meals to minimise contact,” Mr. Kannan said.,Passengers must also be prepared for a costlier travel so that airlines can operate flights in a cost-efficient manner despite being required to leave 33%-50% of their flights empty.,“If we are operating only two-thirds of our flight capacity, the cost per ticket will go up. But airfare is a function of supply and demand and we can’t predict the nature of demand. We know that in the first few days, there will be a lot of demand from passengers, but what happens thereafter is uncertain,” Mr. Kannan said.,Vistara and other airlines have already announced that they will remove all reading materials from seat-back pockets, clean the aircraft after every flight and deep-clean the aircraft after every 24 hours and provide passengers with hand-sanitisers and masks.,With multiple agencies involved in minimising the risk of infection, Mr. Kannan advises passengers to travel free of stress. “This is not an easy time, but air travel is the safest mode. The air inside the plane is re-circulated through HEPA filters to minimise infection. Just remember to wear your mask and factor in extra time.”","Coronavirus | More travel time, no frills, higher fare are new normal"
"April 17, 2020 10:24 IST","Srinagar ,","Two terrorists, who had snatched two service rifles and killed a policeman in Kishtwar's Dachan on April 13 by using axes, were killed in an encounter in Chenab Valley’s Kishtwar, the police said on Friday.,“The two terrorists were killed in an encounter in Dachan area of Kishtwar. The police, the Army and the CRPF were deployed in a difficult terrain after a tip-off. The two weapons have been recovered,” the Inspector General of Police, Jammu, said.,An official said the two locals were chased by a joint team of security forces in the upper reaches of Dachan for the past two days. The police identified them as Basharat Hussain and Ashiq Hussain, both residents of village Tander, Dachhan. Hussain was released 24 days ago from jail. He was earlier arrested under Section 363, 376 (kidnapping and rape) of the Rabir Penal Code.,In another incident, Two Hizb-ul-Mijahideen militants were killed in a gunfight with security forces in south Kashmir’s Shopian on Friday.,An official said the firefight took place at Dairoo, Keegam of south Kashmir’s Shopian district on Friday.,It was a joint operation of the Jammu and Kashmir police, the Army’s 44RR and the CRPF.",Four militants killed in J&K
"April 17, 2020 12:19 IST","New Delhi,","The Indian Railways turned 167 years old on Thursday and for the first time ever, its trains did not carry any passengers on its birthday and instead stood idle in the yards waiting for the,nationwide lockdown,to end.,On this day 167 years ago, the wheels of the first passenger train in the country from Mumbai to Thane started rolling.,In 1974, Indians experienced life without trains for the first time. In May 1974 during the strike of the railways that lasted for around three weeks, drivers, station masters, guards, track staff and many others went on ‘chakka jam’ demanding fixed working hours for train drivers and an across-the-board pay hike.,“I can recall those times vividly. I remember that our leader George Fernandes had almost secured a deal with the then railway minister, but it fell through when it was taken to the then Prime Minister Indira Gandhi,” All India Railwaymens Federation General Secretary Shiv Gopal Mishra, who was an apprentice in the railways at that time, told,PTI.,,Passenger trains cancelled, flight ban extended till May 3,“Fernandes was arrested in Lucknow. The workers went through a lot at that time. But those were days that angry workers had refused to give in and took great risks to get their demands met,” he said.,However, just like this time, four decades ago too freight trains carrying essential supplies were run and the unions agreed to let some passenger trains run on the trunk routes like the Kalka Mail from Howrah to Delhi.,“Never ever in its history, there has been such a long interruption of services. Not during the World Wars, not during the 1974 railway strike, or any other national calamity or natural disaster,” a railway spokesperson said.,Railways to refund ₹1,490 crore for cancellation of 94 lakh ticket bookings,The first Indian Railways passenger train was flagged off on April 16, 1853, from Mumbai to nearby Thane.,On Thursday, the Railway Ministry wished the railways a happy birthday on Twitter: “Today, 167 years ago with the zeal of ‘never to stop’ the wheels of the first passenger train from Mumbai to Thane started rolling. For the first time, passenger services are stopped for your safety. Stay indoors & make the nation victorious,” it said.,Railway has suspended all passenger services since March 25 till May 3 due to the,coronavirus,outbreak. Around 15,523 trains run by the railways have been affected including 9,000 passenger trains and 3,000 mail express services which are run daily. It caters to over 20 million passengers every day.,According to the Union health ministry, the death toll due to coronavirus rose to 414 and the number of cases to 12,380 in the country on Thursday.","First time in 167 years, railways not ferrying passengers on its birthday"
"April 17, 2020 15:28 IST","New Delhi ,","Union Home Minister Amit Shah said on Friday the Narendra Modi government is leaving no stone unturned to tackle the crisis caused by the novel coronavirus outbreak in the country.,Also read:,RBI to ensure adequate liquidity in system; cuts reverse repo rate by 25 basis points,Complimenting the Reserve Bank of India (RBI) for the steps taken to boost the economy, Mr. Shah said such action will further reinforce Mr. Modi’s vision.,“Modi government is leaving no stone unturned in this fight against COVID-19, ensuring minimum disruption in people’s lives while planning for a strong and stable India in days ahead,” he tweeted.,The Home Minister said the RBI’s decision to extend ₹20,000 crore credit facility to NABARD and ₹15,000 crore to SIDBI will greatly help the farmers, provide the much needed financial stability to MSMEs and start ups, and boost the ‘Make in India’ programme.,Mr. Shah said the ₹10,000 crore to National Housing Bank (NHB) and liquidity measures for banks and non-banking financial companies (NBFCs) will help too.,“Steps taken by RBI today, to boost Indian economy, further reinforce PM Narendra Modi’s vision,” he said.,The RBI on Friday further eased bad-loan rules, froze dividend payment by lenders and pushed banks to lend more by cutting the reverse repo rate by 25 basis points, as it unveiled a second set of measures to support the economy hit hard by a coronavirus-led slowdown.,In his second televised address since the nationwide lockdown began from March 25, Reserve Bank of India (RBI) Governor Shaktikanta Das pledged to boost liquidity and expand bank credit.","Coronavirus | Modi govt. leaving no stone unturned to fight COVID-19, says Amit Shah"
"April 17, 2020 16:04 IST","New Delhi,","Chhattisgarh will start pool sample testing for,COVID-19,in a couple of days, state’s Health Minister T S Singh Deo said on Friday, while ruing the Modi government’s “conservative” testing strategy instead of an “aggressive” approach, which would have put the country in a much better position to fight the pandemic.,COVID-19 | Interactive map of confirmed coronavirus cases in India,In an interview to,PTI,,Mr. Deo also said the Chhattisgarh government is in the process of procuring 75,000 rapid testing kits on its own and has also asked the Centre for providing some.,“We have re-tendered for 75,000 kits on Thursday. We have also appealed to the Central government (for giving us kits) which I hear is to get a tranche of about 6,40,000 kits from abroad. Chhatisgarh is one of those states where we don’t have even a single kit today,” Mr. Deo said.,The Centre is likely to send rapid testing kits to the state by Saturday, he said. However, he was not aware of the number being sent.,Also read:,Coronavirus | India receives 5 lakh rapid COVID-19 testing kits from China,He also asserted that the personal protective equipment (PPE) for medical personnel, including doctors and nurses, dealing directly with COVID-19 patients was in short supply.,On the state set to adopt pool testing, Mr. Deo said, “We were one of those states asking for it. On Tuesday, the ICMR cleared this. We have talked to the laboratories at AIIMS and the medical college (Pt Jawahar Lal Nehru Memorial Medical College) in Raipur. They are in agreement that they will be able to do it,” he said.,AIIMS Raipur has a capacity of 350-400 sample tests in a day and with pool testing it can go up to 2,000, while the Raipur medical college has about 100-120 samples capacity which would be able to go up to 500-600 in a day, he said, adding that “the pool testing would start within a day or two.”,Pooling of samples involves testing them in batches and when pooled sample tests positive, then individual samples are assessed. Pool testing reduces the number of test kits used, and therefore, increases testing capacity.,Asked about former Congress president Rahul Gandhi’s assertion on ramping up testing, Mr. Deo said it has to be the way forward because if one is not testing aggressively then it is like being in a “dark room” and working on speculation.,He said different protocols are being followed around the world and while one advocated a lockout, the other was testing and regulating movement.,Also read:,Coronavirus | Amit Shah intervention made ICMR expand labs for testing COVID-19,“Between South Korea and India, South Korea has tested about 7,000 per million, while India, I don’t think it would have touched even 200 per million, so that is the gap....It is easier not to have a lockdown if you have a more aggressive testing protocol. Then you are more aware of where to prevent people from moving around and where to allow people to be much freer to move around,” Deo said.,“The testing protocol (adopted by the Centre) was very conservative. The entire testing protocol in the country was with only one facility initially, NIV (National Institute of Virology), Pune. Now we have 220 labs. So either the government was not prepared or not planning,” he alleged.,Mr. Deo said that selective testing created a “big gap” between the asymptomatic population and those tested, and that was one of the reasons for the spread of the virus.,On Chhattisgarh having fewer number of cases and zero death, the minister said the key was that the State started preparations early and then luck also played its part.,“We did start early, that is true. We started on January 27 by putting in the rapid task force headed by the district collectors so that the inter-department coordination would be there as just the health department would not have been able to ensure compliance (of protocols) beyond a point,” he said.,“We are fortunate to have had only 33 cases, so I would give a lot to chance, a lot to luck, maybe our people have been alert. We have had a large population that has been under quarantine, Wednesday’s figures were 94,795 in home quarantine and 242 in government quarantine facilities,” he said.,Malls, cinema halls, and other business institutions were also asked to regulate activities or close down early in the state, he said.,“Between January 27 to March 24, we had tried to put an administrative system in place which had identified COVID dedicated facilities and training of manpower .We started screening people coming in at the airport from January 28,” he said.,“It was very difficult at the bus stand and railway stations so we went for hoardings, billboards and jingles (for COVID-19 precautions). The idea was to educate the people because from day one it was absolutely clear that there was no cure, no medicine, that we could provide to the people,” he said.,The government had to try and contain the virus’ spread, he added.,According to the state government, there were 33 cases of coronavirus, out of which 23 people have been discharged or cured and there have been zero fatalities due to the pandemic in the State.,The minister also said there was no early standardisation of the PPE kits for COVID-19 and the Indian Council of Medical Research ( ICMR) published its standard for such kits only on March 24.,“We had placed our orders on March 5 for PPEs to government subsidiary HLL for 7,000 kits and subsequently for another 7,000 kits on March 16. Out of those 14,000 kits we ordered, the firm could supply us only 3,000,” Mr. Deo said.,These items are in short supply and it is not clear to manufacturers in the country as to what standard of PPE kits they have to supply for COVID-19, the senior minister in the Chhattisgarh government said.,Asserting that the pandemic should serve as a wake up call for governments across the globe and they should commit at least 3 percent of the GDP to the health sector, he said there must be a sustained investment in the public health sector, he said.,Deo also said the state government has asked the Centre for an automated DNA/RNA machine for sample procurement, noting that currently it is being done on a manual basis. If they provide us with this machine then the capacity doubles, the minister added.","Coronavirus | Chhattisgarh to start pool testing in couple of days, says Singh Deo"
"April 17, 2020 14:30 IST","New Delhi,","An AH-64E Apache attack helicopter of the Indian Air Force (IAF) made a precautionary landing in a field in Hoshiarpur district of Punjab near Pathankot on Friday morning. The crew and the helicopter are safe, the IAF said.,The Apaches are the latest induction into the IAF.,“The helicopter, after approximately 1hr of flying, had indications of a critical failure and carried out a safe landing west of Indora, Punjab. The captain of the aircraft took correct and prompt actions to recover the helicopter safely,” The IAF said in a statement.,All crew onboard the helicopter were safe and there had been no damage to any property. “The aircraft will be recovered after necessary rectification,” the IAF said.,India contracted 22 Apaches from Boeing under a ₹13,951.57-crore deal in September 2015. The first batch was formally inducted in September 2019 and based at the the Pathankot Air Force station. So far, 17 helicopters have been inducted and all 22 are scheduled to be delivered by end 2020.,The Apache is a heavy attack helicopter and the most advanced currently in service globally. These are replacing the ageing Russian Mi-35 attack helicopters in service.,During the visit of U.S. President Donald Trump to India in February, India signed a deal for six more Apaches to cost around $800 mn for the Army in addition to the $2.2bn deal for 24 MH-60R Seahawk multi-role helicopters for the Navy.,The Apaches, along with Chinook CH-47F(I) heavy lift helicopters, made a maiden flight on Rajpath at this year’s Republic Day parade.,On Thursday, an IAF Cheetah utility helicopter made a precautionary landing on the Outer Ring Road after developing a technical snag shortly after take-off from the Hindon air base.",IAF Apache copter makes precautionary landing
"April 26, 2020 18:03 IST","NEW DELHI,","The CBI on Sunday took custody of,Kapil and Dheeraj Wadhawan,in connection with the,Yes Bank case,. The two were earlier kept in quarantine after they were tracked down to Satara in Maharashtra.,Also read:,Yes Bank yet to use RBI’s credit lifeline,“Non-bailable warrants were pending against the Wadhawans in the case registered in March. The warrants have been executed by taking them into custody,” said a CBI official.,,Panel probing Wadhawans' permit will submit report in 48 hours: Maharashtra Home Minister,On April 9, the agency received information that the accused persons were located in Satara and had been lodged at a government institutional quarantine centre in Panchgani. Through an email, the district Magistrate and the SP were immediately asked not to release them without a no-objection from the CBI or court order.,Both the accused were absconding since the beginning of the investigation, the CBI said. They had also not joined the money-laundering probe being conducted by the Enforcement Directorate.,Also read:,Explained: Why did Yes Bank have to be bailed out?,The CBI had registered the case on March 7 against the Wadhawans, former Yes Bank Managing Director and CEO Rana Kapoor and others. It pertains to ₹3,700 crore loans extended to the DHFL allegedly against the investment of ₹600 crore in a company linked to Mr. Kapoor’s family members.,In the FIR, Mr. Kapil Wadhawan was named as promoter director of the DHFL and Mr. Dheeraj Wadhawan as director of the RKW Developers Private Limited.,Also read:,Yes Bank crisis | Rana Kapoor: The rise and quick downfall of a maverick banker,The CBI carried out searches two days after registering the case. Both the accused were not found. Therefore, to secure their presence for investigation, the agency served notices on them. But they did not turn up, as alleged.,Subsequently, on the CBI’s plea, a Mumbai special court issued non-bailable warrants against them on March 17. However, they again did not appear before the CBI or the court.,On the night of April 8, the Wadhawans travelled to Mahabaleshwar along with over 20 relatives and associates in five cars, allegedly violating the lockdown measures.,Also read:,Yes Bank: prime properties in Delhi, Mumbai under ED scanner,They were carrying passes purportedly issued by a Special Principal Secretary in the Maharashtra government’s Home department, who was later sent on compulsory leave pending inquiry.,The Wadhawans, their family members and associates, were sent to the quarantine facility for 14 days, while the Satara police registered a case for alleged violation of the lockdown orders.",Yes Bank case: CBI takes Kapil and Dheeraj Wadhawan into custody
